ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
THC,Tenet Healthcare Corporation,USA,United States,Healthcare,196.66,USD,247.21,20.4,16939.7,1245.7,-48.14,-52.45,OVERSOLD,Strong BUY,19.23,21310.0,1.68,2026-05-17T11:42:34.384427
SUNC,SunocoCorp LLC,USA,United States,Energy,71.4,USD,71.71,0.4,3678.3,567.4,74.6,70.27,OVERBOUGHT,BUY,9.6,25201.0,0.78,2026-05-17T11:42:34.440639
RSG,"Republic Services, Inc.",USA,United States,Industrials,208.32,USD,258.75,19.5,64092.6,1574.1,-63.02,-60.99,OVERSOLD,Turning Up,6.98,16591.0,0.62,2026-05-17T11:42:34.586948
HLIO,"Helios Technologies, Inc.",USA,United States,Industrials,77.03,USD,80.0,3.7,2545.6,377.4,8.05,-3.23,Bullish,BUY,1.82,839.0,1.58,2026-05-17T11:42:34.715925
STE,STERIS plc (Ireland),USA,United States,Healthcare,212.11,USD,269.44,21.3,20818.0,820.1,-48.29,-52.96,OVERSOLD,Strong BUY,7.93,5459.5,1.39,2026-05-17T11:42:34.830877
MGNX,"MacroGenics, Inc.",USA,United States,Healthcare,4.25,USD,4.35,2.3,270.1,1254.1,49.05,47.02,OVERBOUGHT,BUY,-1.11,149.5,4.92,2026-05-17T11:42:34.912134
AGYS,"Agilysys, Inc.",USA,United States,Technology,67.34,USD,145.25,53.6,1892.8,303.0,-39.87,-50.17,Bearish,Strong BUY,1.07,275.6,1.07,2026-05-17T11:42:34.986526
CHRD,Chord Energy Corporation,USA,United States,Energy,148.39,USD,150.5,1.4,8354.2,1064.9,58.74,56.8,OVERBOUGHT,BUY,-1.02,4877.1,0.98,2026-05-17T11:42:35.113931
KNTK,Kinetik Holdings Inc.,USA,United States,Energy,51.27,USD,51.51,0.5,3773.6,1347.5,56.01,53.92,OVERBOUGHT,BUY,2.51,1764.4,0.69,2026-05-17T11:42:35.319727
CNCK,Coincheck Group N.V.,USA,Netherlands,Financial Services,2.03,USD,9.31,78.2,275.9,1015.8,-32.57,-43.53,Bearish,Strong BUY,-0.09,383330.0,1.07,2026-05-17T11:42:35.418939
EIKN,"Eikon Therapeutics, Inc.",USA,United States,Healthcare,13.25,USD,17.4,23.9,717.3,355.4,-35.67,-50.3,Bearish,Strong BUY,-6.32,0.0,6.34,2026-05-17T11:42:35.619134
COMP,"Compass, Inc.",USA,United States,Real Estate,7.88,USD,13.95,43.5,5887.6,15318.4,-28.29,-41.08,Bearish,Strong BUY,0.02,6961.6,0.86,2026-05-17T11:42:35.877154
LI,Li Auto Inc.,USA,China,Consumer Cyclical,18.51,USD,32.03,42.2,18892.5,3077.9,1.17,3.6,Bullish,Turning Up,0.16,112312.5,1.68,2026-05-17T11:42:35.966397
